SystemDate,AccountNumber,OfficeRR,Currency,SecurityType,Symbol,CUSIP,Sedol,SecurityDescription,ClosingPrice,factor,Rate,TradeQuantity,SettleQuantity,TradeMarketValue,SettleMarketValue,TodayUnrealizedPL,TodayRealizedPL,TodayCouponInterest,TodayFundingInterest,TodayTotalPL,MTDUnrealizedPL,MTDRealizedPL,MTDCouponInterest,MTDFundingInterest,MTDTotalPL,YTDUnrealizedPL,YTDRealizedPL,YTDCouponInterest,YTDFundingInterest,YTDTotalPL,RATING,Margin Requirements
8/21/2023,66TX0020,TX24,USD,Corporate Bonds,,144523AC1,,CARRINGTON HLDG COMPANY LLC 8.000% 01/01/26 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.4444,0.0,444.4444,BBB,0.0
8/21/2023,66TX0025,TX23,USD,Corporate Bonds,,35640YAA5,BF57XM3,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.625,0.0,495.625,AA,0.0
8/21/2023,66TX0025,TX23,USD,Corporate Bonds,,35640YAB3,BF0YND0,FREEDOM MORTGAGE CORPORATION 8.250% 04/15/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0001,0.0,3025.0001,BB,0.0
8/21/2023,66TX0025,TX23,USD,Corporate Bonds,,878155AE0,BFZ2JD1,TEAM INC 5.000% 08/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.3472,0.0,415.3472,B-,0.0
8/21/2023,66TX0025,TX23,USD,Corporate Bonds,,88947EAN0,B9GWFM9,TOLL BROS FIN CORP 4.375% 04/15/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4375,0.0,98.4375,A,0.0
8/21/2023,66TX0028,TX24,USD,Corporate Bonds,,62913TAJ1,,NGL ENERGY PARTNERS LP 7.500% 11/01/23 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0833,0.0,52.0833,AAA,0.0
8/21/2023,66TX0040,TX26,USD,Corporate Bonds,,045054AR4,BM8K146,ASHTEAD CAP INC SR 144A NT 33 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.2778,0.0,-165.2778,0.0,0.0,-661.1112,0.0,-661.1112,BBB,0.0
8/21/2023,66TX0040,TX26,USD,Corporate Bonds,,716973AG7,BQ66T84,PFIZER INVT ENTERPRISES 0.000% 05/19/53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220.8333,0.0,-220.8333,C,0.0
8/21/2023,66TX0040,TX26,USD,Corporate Bonds,,75513ECR0,BQS6Q47,RAYTHEON TECHNOLOGIES CORP 5.150% 02/27/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.0556,0.0,-143.0556,AA-,0.0
8/21/2023,66TX0040,TX26,USD,Corporate Bonds,,80282KBG0,BQWPDY9,SANTANDER HLDGS USA INC SR NT FIXED/FLTG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-547.0833,0.0,-547.0833,AA-,0.0
8/21/2023,66TX0040,TX26,USD,Treasury Notes,,91282CGM7,BQXLPX9,US TREAS NTS 9 YEAR 10 MONTH MATURITY 02/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0635,0.0,71.0635,BB-,
8/21/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHC8,BQYLTK3,US TREAS NOTE 9 YEAR 10 MONTH MATURITY 05/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.9871,0.0,226.9871,B-,
8/21/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHE4,BP489T6,US TREAS NOTE 5 YEAR MATURITY 05/31/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.5055,0.0,465.5055,BB+,
8/21/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHL8,BQXV164,US TREAS NOTE 2 YEAR MATURITY 06/30/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4681,0.0,63.4681,BBB-,
8/21/2023,66TX0040,TX26,USD,Corporate Bonds,,95000U3F8,BNFZXQ7,WELLS FARGO & CO MEDIUM TERM S R NTS BOOK ENTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.1806,0.0,-77.1806,BB,0.0
8/21/2023,66TX0063,TX23,USD,Corporate Bonds,,14308CAA1,,CARLYLE AVIATION ELEVATE MERGE 7.000% 10/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.111,0.0,1410.111,D,0.0
8/21/2023,66TX0063,TX23,USD,Corporate Bonds,,253651AC7,,DIEBOLD NXDF INC 8.500% 04/15/24 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-295.1389,0.0,-295.1389,A,0.0
8/21/2023,66TX0063,TX23,USD,Corporate Bonds,,724479AP5,BNC23N8,PITNEY BOWES INC 6.875% 03/15/27 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.875,0.0,171.875,AA,0.0
